Participant,Session,Staircase,Score,Experiment,Time
5,2,2,5.83,No delay,Early
5,2,3,4.69,No delay,Early
5,2,4,4.36,No delay,Early
5,2,1,3.377,Delay,Early
5,2,4,1.052,Delay,Early
5,2,3,2.025,Delay,Early
5,2,2,1.884,Delay,Early
5,3,1,4.05,No delay,Early
5,3,2,2.42,No delay,Early
5,3,3,2.91,No delay,Early
5,3,4,2.52,No delay,Early
5,3,2,1.218,Delay,Early
5,3,4,1.461,Delay,Early
5,3,3,2.178,Delay,Early
5,3,1,1.405,Delay,Early
5,13,1,2.47,No delay,Late
5,13,2,2.18,No delay,Late
5,13,3,4.61,No delay,Late
5,13,4,2.81,No delay,Late
5,13,4,0.772,Delay,Late
5,13,1,1.13,Delay,Late
5,13,3,1.154,Delay,Late
5,13,2,0.801,Delay,Late
5,14,1,2.34,No delay,Late
5,14,2,2.91,No delay,Late
5,14,3,3.08,No delay,Late
5,14,4,2.86,No delay,Late
5,14,3,0.744,Delay,Late
5,14,2,0.758,Delay,Late
5,14,4,1.014,Delay,Late
5,14,1,0.893,Delay,Late
5,15,1,2.66,No delay,Late
5,15,2,2.71,No delay,Late
5,15,3,2.42,No delay,Late
5,15,4,2.1,No delay,Late
5,15,2,0.772,Delay,Late
5,15,4,0.557,Delay,Late
5,15,3,0.773,Delay,Late
5,15,1,1.196,Delay,Late
6,1,1,0,No delay,Early
6,1,2,33.17,No delay,Early
6,1,3,38.24,No delay,Early
6,1,4,32.65,No delay,Early
6,2,1,25.47,No delay,Early
6,2,2,25.04,No delay,Early
6,2,3,24.18,No delay,Early
6,2,4,20.52,No delay,Early
6,2,1,2.763,Delay,Early
6,2,2,2.866,Delay,Early
6,2,3,2.386,Delay,Early
6,3,1,25.47,No delay,Early
6,3,2,23.32,No delay,Early
6,3,3,17.4,No delay,Early
6,3,4,11.87,No delay,Early
6,3,1,2.387,Delay,Early
6,3,2,1.72,Delay,Early
6,3,3,1.918,Delay,Early
6,13,1,10.4,No delay,Late
6,13,2,6.51,No delay,Late
6,13,3,7.81,No delay,Late
6,13,4,8.53,No delay,Late
6,13,1,1.815,Delay,Late
6,13,2,1.435,Delay,Late
6,13,3,1.751,Delay,Late
6,14,1,10.4,No delay,Late
6,14,2,6.99,No delay,Late
6,14,3,4.61,No delay,Late
6,14,4,7.66,No delay,Late
6,15,1,6.99,No delay,Late
6,15,2,5.83,No delay,Late
6,15,3,11.45,No delay,Late
6,15,4,6.39,No delay,Late
6,15,3,1.24,Delay,Late
6,15,2,1.13,Delay,Late
6,15,1,1.751,Delay,Late
6,15,4,1.217,Delay,Late
7,1,1,38.8,No delay,Early
7,1,2,34.82,No delay,Early
7,1,3,30.06,No delay,Early
7,1,4,31.1,No delay,Early
7,1,1,20.54,Delay,Early
7,1,3,19.448,Delay,Early
7,1,2,19.095,Delay,Early
7,1,4,20.169,Delay,Early
7,2,1,20.16,No delay,Early
7,2,2,8.39,No delay,Early
7,2,3,7.81,No delay,Early
7,2,4,9.32,No delay,Early
7,2,4,15.625,Delay,Early
7,2,1,13.505,Delay,Early
7,2,2,11.254,Delay,Early
7,2,3,10.087,Delay,Early
7,3,1,5.73,No delay,Early
7,3,2,6.03,No delay,Early
7,3,3,7.23,No delay,Early
7,3,4,9.88,No delay,Early
7,3,1,6.278,Delay,Early
7,3,2,7.006,Delay,Early
7,3,3,5.232,Delay,Early
7,3,4,5.837,Delay,Early
7,13,1,3.77,No delay,Late
7,13,2,1.78,No delay,Late
7,13,3,2.47,No delay,Late
7,13,4,3.49,No delay,Late
7,13,2,2.475,Delay,Late
7,13,3,2.663,Delay,Late
7,13,1,1.719,Delay,Late
7,13,4,3.566,Delay,Late
7,14,1,2.42,No delay,Late
7,14,2,2.34,No delay,Late
7,14,3,1.18,No delay,Late
7,14,4,3.26,No delay,Late
7,14,4,2.26,Delay,Late
7,14,1,2.025,Delay,Late
7,14,3,2.388,Delay,Late
7,14,2,2.616,Delay,Late
