Participant,Part,Source,File,Condition,Staircase,Score
pp2,part A,STpp2.2,st-gb135,12,1,2.22
pp2,part A,STpp2.2,st-gb135,12,2,2.30
pp2,part A,STpp2.2,st-gb135,12,3,2.57
pp2,part A,STpp2.2,st-gb135,12,4,2.14
pp2,part A,STpp2.2,st-gb135,11,1,4.27
pp2,part A,STpp2.2,st-gb135,11,2,4.77
pp2,part A,STpp2.2,st-gb135,11,3,3.84
pp2,part A,STpp2.2,st-gb135,11,4,4.29
pp2,part A,STpp2.2,st-gb165,13,1,3.20
pp2,part A,STpp2.2,st-gb165,13,2,2.86
pp2,part A,STpp2.2,st-gb165,13,3,4.05
pp2,part A,STpp2.2,st-gb165,13,4,3.91
pp2,part A,STpp2.2,st-gb105,14,1,4.12
pp2,part A,STpp2.2,st-gb105,14,2,2.76
pp2,part A,STpp2.2,st-gb105,14,3,1.78
pp2,part A,STpp2.2,st-gb105,14,4,2.22
pp2,part A,STpp2.5,st-gb135,11,1,2.81
pp2,part A,STpp2.5,st-gb135,11,2,2.42
pp2,part A,STpp2.5,st-gb135,11,3,1.82
pp2,part A,STpp2.5,st-gb135,11,4,1.58
pp2,part A,STpp2.5,st-gb135,12,1,3.56
pp2,part A,STpp2.5,st-gb135,12,2,1.68
pp2,part A,STpp2.5,st-gb135,12,3,1.60
pp2,part A,STpp2.5,st-gb135,12,4,1.35
pp2,part A,STpp2.5,st-gb165,13,1,2.66
pp2,part A,STpp2.5,st-gb165,13,2,1.99
pp2,part A,STpp2.5,st-gb165,13,3,1.68
pp2,part A,STpp2.5,st-gb165,13,4,1.95
pp2,part A,STpp2.5,st-gb105,14,1,2.76
pp2,part A,STpp2.5,st-gb105,14,2,2.26
pp2,part A,STpp2.5,st-gb105,14,3,1.78
pp2,part A,STpp2.5,st-gb105,14,4,1.58
pp2,part A,STpp2.4,st-gb135,12,1,1.92
pp2,part A,STpp2.4,st-gb135,12,2,1.63
pp2,part A,STpp2.4,st-gb135,12,3,2.22
pp2,part A,STpp2.4,st-gb135,12,4,1.33
pp2,part A,STpp2.4,st-gb135,11,1,2.66
pp2,part A,STpp2.4,st-gb135,11,2,2.26
pp2,part A,STpp2.4,st-gb135,11,3,2.02
pp2,part A,STpp2.4,st-gb135,11,4,2.52
pp2,part A,STpp2.4,st-gb105,14,1,2.97
pp2,part A,STpp2.4,st-gb105,14,2,1.50
pp2,part A,STpp2.4,st-gb105,14,3,1.88
pp2,part A,STpp2.4,st-gb105,14,4,1.85
pp2,part A,STpp2.4,st-gb165,13,1,3.56
pp2,part A,STpp2.4,st-gb165,13,2,2.52
pp2,part A,STpp2.4,st-gb165,13,3,3.03
pp2,part A,STpp2.4,st-gb165,13,4,3.03
pp2,part A,STpp2.3,st-gb135,11,1,3.32
pp2,part A,STpp2.3,st-gb135,11,2,1.92
pp2,part A,STpp2.3,st-gb135,11,3,2.71
pp2,part A,STpp2.3,st-gb135,11,4,2.42
pp2,part A,STpp2.3,st-gb135,12,1,2.86
pp2,part A,STpp2.3,st-gb135,12,2,2.42
pp2,part A,STpp2.3,st-gb135,12,3,2.30
pp2,part A,STpp2.3,st-gb135,12,4,2.30
pp2,part A,STpp2.3,st-gb105,14,1,2.66
pp2,part A,STpp2.3,st-gb105,14,2,2.20
pp2,part A,STpp2.3,st-gb105,14,3,1.88
pp2,part A,STpp2.3,st-gb105,14,4,2.30
pp2,part A,STpp2.3,st-gb105,13,1,5.32
pp2,part A,STpp2.3,st-gb105,13,2,2.42
pp2,part A,STpp2.3,st-gb105,13,3,3.63
pp2,part A,STpp2.3,st-gb105,13,4,1.95
pp2,part A,STpp2.11,st-gb135,11,1,1.65
pp2,part A,STpp2.11,st-gb135,11,2,1.88
pp2,part A,STpp2.11,st-gb135,11,3,1.92
pp2,part A,STpp2.11,st-gb135,11,4,1.16
pp2,part A,STpp2.11,st-gb135,12,1,2.30
pp2,part A,STpp2.11,st-gb135,12,2,1.16
pp2,part A,STpp2.11,st-gb135,12,3,1.06
pp2,part A,STpp2.11,st-gb135,12,4,1.40
pp2,part A,STpp2.11,st-gb105,14,1,2.10
pp2,part A,STpp2.11,st-gb105,14,2,2.18
pp2,part A,STpp2.11,st-gb105,14,3,2.06
pp2,part A,STpp2.11,st-gb105,14,4,1.45
pp2,part A,STpp2.11,st-gb165,13,1,2.57
pp2,part A,STpp2.11,st-gb165,13,2,1.92
pp2,part A,STpp2.11,st-gb165,13,3,2.18
pp2,part A,STpp2.11,st-gb165,13,4,2.26
pp2,part A,STpp2.10,st-gb135,12,1,1.71
pp2,part A,STpp2.10,st-gb135,12,2,2.26
pp2,part A,STpp2.10,st-gb135,12,3,1.16
pp2,part A,STpp2.10,st-gb135,12,4,1.33
pp2,part A,STpp2.10,st-gb135,11,1,1.95
pp2,part A,STpp2.10,st-gb135,11,2,1.60
pp2,part A,STpp2.10,st-gb135,11,3,1.95
pp2,part A,STpp2.10,st-gb135,11,4,1.10
pp2,part A,STpp2.10,st-gb165,13,1,2.42
pp2,part A,STpp2.10,st-gb165,13,2,2.18
pp2,part A,STpp2.10,st-gb165,13,3,2.06
pp2,part A,STpp2.10,st-gb165,13,4,2.06
pp2,part A,STpp2.10,st-gb105,14,1,1.82
pp2,part A,STpp2.10,st-gb105,14,2,1.60
pp2,part A,STpp2.10,st-gb105,14,3,1.52
pp2,part A,STpp2.10,st-gb105,14,4,1.33
pp2,part A,STpp2.8,st-gb135,12,1,1.75
pp2,part A,STpp2.8,st-gb135,12,2,2.22
pp2,part A,STpp2.8,st-gb135,12,3,1.52
pp2,part A,STpp2.8,st-gb135,12,4,1.58
pp2,part A,STpp2.8,st-gb135,11,1,3.63
pp2,part A,STpp2.8,st-gb135,11,2,1.88
pp2,part A,STpp2.8,st-gb135,11,3,1.40
pp2,part A,STpp2.8,st-gb135,11,4,1.42
pp2,part A,STpp2.8,st-gb105,14,1,1.85
pp2,part A,STpp2.8,st-gb105,14,2,1.85
pp2,part A,STpp2.8,st-gb105,14,3,2.34
pp2,part A,STpp2.8,st-gb105,14,4,2.06
pp2,part A,STpp2.8,st-gb165,13,1,2.66
pp2,part A,STpp2.8,st-gb165,13,2,2.76
pp2,part A,STpp2.8,st-gb165,13,3,2.97
pp2,part A,STpp2.8,st-gb165,13,4,2.18
pp2,part A,STpp2.6,st-gb135,12,1,2.10
pp2,part A,STpp2.6,st-gb135,12,2,1.50
pp2,part A,STpp2.6,st-gb135,12,3,1.22
pp2,part A,STpp2.6,st-gb135,12,4,2.18
pp2,part A,STpp2.6,st-gb135,11,1,1.82
pp2,part A,STpp2.6,st-gb135,11,2,1.58
pp2,part A,STpp2.6,st-gb135,11,3,1.92
pp2,part A,STpp2.6,st-gb135,11,4,1.82
pp2,part A,STpp2.6,st-gb165,13,1,3.84
pp2,part A,STpp2.6,st-gb165,13,2,2.71
pp2,part A,STpp2.6,st-gb165,13,3,2.10
pp2,part A,STpp2.6,st-gb165,13,4,2.47
pp2,part A,STpp2.6,st-gb105,14,1,1.78
pp2,part A,STpp2.6,st-gb105,14,2,2.91
pp2,part A,STpp2.6,st-gb105,14,3,1.42
pp2,part A,STpp2.6,st-gb105,14,4,1.58
pp2,part A,STpp2.1,st-gb135,11,1,31.10
pp2,part A,STpp2.1,st-gb135,11,2,19.44
pp2,part A,STpp2.1,st-gb135,11,3,9.20
pp2,part A,STpp2.1,st-gb135,11,4,5.42
pp2,part A,STpp2.1,st-gb135,12,1,6.27
pp2,part A,STpp2.1,st-gb135,12,2,4.61
pp2,part A,STpp2.1,st-gb135,12,3,4.12
pp2,part A,STpp2.1,st-gb135,12,4,2.57
pp2,part A,STpp2.1,st-gb165,13,1,4.94
pp2,part A,STpp2.1,st-gb165,13,2,4.27
pp2,part A,STpp2.1,st-gb165,13,3,5.12
pp2,part A,STpp2.1,st-gb165,13,4,2.76
pp2,part A,STpp2.1,st-gb105,14,1,4.52
pp2,part A,STpp2.1,st-gb105,14,2,6.63
pp2,part A,STpp2.1,st-gb105,14,3,3.20
pp2,part A,STpp2.1,st-gb105,14,4,3.91
pp2,part A,STpp2.7,st-gb135,11,1,2.91
pp2,part A,STpp2.7,st-gb135,11,2,1.75
pp2,part A,STpp2.7,st-gb135,11,3,1.95
pp2,part A,STpp2.7,st-gb135,11,4,2.71
pp2,part A,STpp2.7,st-gb135,12,1,2.66
pp2,part A,STpp2.7,st-gb135,12,2,1.58
pp2,part A,STpp2.7,st-gb135,12,3,1.52
pp2,part A,STpp2.7,st-gb135,12,4,1.65
pp2,part A,STpp2.7,st-gb105,14,1,3.10
pp2,part A,STpp2.7,st-gb105,14,2,1.92
pp2,part A,STpp2.7,st-gb105,14,3,2.10
pp2,part A,STpp2.7,st-gb105,14,4,1.95
pp2,part A,STpp2.7,st-gb165,13,1,3.56
pp2,part A,STpp2.7,st-gb165,13,2,2.62
pp2,part A,STpp2.7,st-gb165,13,3,2.42
pp2,part A,STpp2.7,st-gb165,13,4,1.99
pp2,part A,STpp2.9,st-gb135,11,1,2.52
pp2,part A,STpp2.9,st-gb135,11,2,2.18
pp2,part A,STpp2.9,st-gb135,11,3,2.14
pp2,part A,STpp2.9,st-gb135,11,4,1.31
pp2,part A,STpp2.9,st-gb135,12,1,2.06
pp2,part A,STpp2.9,st-gb135,12,2,2.02
pp2,part A,STpp2.9,st-gb135,12,3,1.16
pp2,part A,STpp2.9,st-gb135,12,4,1.16
pp2,part A,STpp2.9,st-gb165,13,1,1.85
pp2,part A,STpp2.9,st-gb165,13,2,2.62
pp2,part A,STpp2.9,st-gb165,13,3,3.08
pp2,part A,STpp2.9,st-gb165,13,4,1.95
pp2,part A,STpp2.9,st-gb105,14,1,2.38
pp2,part A,STpp2.9,st-gb105,14,2,2.06
pp2,part A,STpp2.9,st-gb105,14,3,1.71
pp2,part A,STpp2.9,st-gb105,14,4,1.68
pp2,part A,STpp2.15,st-gb135,11,1,1.42
pp2,part A,STpp2.15,st-gb135,11,2,1.29
pp2,part A,STpp2.15,st-gb135,11,3,1.47
pp2,part A,STpp2.15,st-gb135,11,4,1.68
pp2,part A,STpp2.15,st-gb135,12,1,1.63
pp2,part A,STpp2.15,st-gb135,12,2,1.82
pp2,part A,STpp2.15,st-gb135,12,3,1.14
pp2,part A,STpp2.15,st-gb135,12,4,1.29
pp2,part A,STpp2.15,st-gb105,14,1,0.96
pp2,part A,STpp2.15,st-gb105,14,2,1.68
pp2,part A,STpp2.15,st-gb105,14,3,1.22
pp2,part A,STpp2.15,st-gb105,14,4,1.40
pp2,part A,STpp2.15,st-gb165,13,1,2.34
pp2,part A,STpp2.15,st-gb165,13,2,1.42
pp2,part A,STpp2.15,st-gb165,13,3,1.85
pp2,part A,STpp2.15,st-gb165,13,4,1.92
pp2,part A,STpp2.12,st-gb135,12,1,2.11
pp2,part A,STpp2.12,st-gb135,12,2,1.42
pp2,part A,STpp2.12,st-gb135,12,3,0.82
pp2,part A,STpp2.12,st-gb135,12,4,1.47
pp2,part A,STpp2.12,st-gb135,11,1,2.02
pp2,part A,STpp2.12,st-gb135,11,2,1.60
pp2,part A,STpp2.12,st-gb135,11,3,1.20
pp2,part A,STpp2.12,st-gb135,11,4,1.33
pp2,part A,STpp2.12,st-gb105,14,1,1.45
pp2,part A,STpp2.12,st-gb105,14,2,1.42
pp2,part A,STpp2.12,st-gb105,14,3,1.14
pp2,part A,STpp2.12,st-gb105,14,4,1.31
pp2,part A,STpp2.12,st-gb165,13,1,2.26
pp2,part A,STpp2.12,st-gb165,13,2,2.10
pp2,part A,STpp2.12,st-gb165,13,3,1.68
pp2,part A,STpp2.12,st-gb165,13,4,1.47
pp2,part A,STpp2.13,st-gb135,11,1,1.16
pp2,part A,STpp2.13,st-gb135,11,2,1.27
pp2,part A,STpp2.13,st-gb135,11,3,1.45
pp2,part A,STpp2.13,st-gb135,11,4,1.50
pp2,part A,STpp2.13,st-gb135,12,1,1.78
pp2,part A,STpp2.13,st-gb135,12,2,1.65
pp2,part A,STpp2.13,st-gb135,12,3,1.33
pp2,part A,STpp2.13,st-gb135,12,4,1.42
pp2,part A,STpp2.13,st-gb135,13,1,2.10
pp2,part A,STpp2.13,st-gb135,13,2,1.63
pp2,part A,STpp2.13,st-gb135,13,3,1.78
pp2,part A,STpp2.13,st-gb135,13,4,1.24
pp2,part A,STpp2.13,st-gb105,14,1,1.58
pp2,part A,STpp2.13,st-gb105,14,2,1.75
pp2,part A,STpp2.13,st-gb105,14,3,1.65
pp2,part A,STpp2.13,st-gb105,14,4,1.52
pp2,part A,STpp2.14,st-gb135,12,1,1.85
pp2,part A,STpp2.14,st-gb135,12,2,0.96
pp2,part A,STpp2.14,st-gb135,12,3,0.86
pp2,part A,STpp2.14,st-gb135,12,4,1.35
pp2,part A,STpp2.14,st-gb135,11,1,2.22
pp2,part A,STpp2.14,st-gb135,11,2,0.98
pp2,part A,STpp2.14,st-gb135,11,3,1.47
pp2,part A,STpp2.14,st-gb135,11,4,1.35
pp2,part A,STpp2.14,st-gb165,13,1,2.47
pp2,part A,STpp2.14,st-gb165,13,2,1.65
pp2,part A,STpp2.14,st-gb165,13,3,1.68
pp2,part A,STpp2.14,st-gb165,13,4,1.45
pp2,part A,STpp2.14,st-gb105,14,1,1.52
pp2,part A,STpp2.14,st-gb105,14,2,1.52
pp2,part A,STpp2.14,st-gb105,14,3,1.00
pp2,part A,STpp2.14,st-gb105,14,4,1.52
pp2,part B,STpp2.20,st-gb165,21,1,3.49
pp2,part B,STpp2.20,st-gb165,21,2,2.71
pp2,part B,STpp2.20,st-gb165,21,3,3.26
pp2,part B,STpp2.20,st-gb165,21,4,2.97
pp2,part B,STpp2.20,st-gb045,22,1,2.57
pp2,part B,STpp2.20,st-gb045,22,2,1.40
pp2,part B,STpp2.20,st-gb045,22,3,2.22
pp2,part B,STpp2.20,st-gb045,22,4,2.02
pp2,part B,STpp2.20,st-gb165,23,1,2.06
pp2,part B,STpp2.20,st-gb165,23,2,3.20
pp2,part B,STpp2.20,st-gb165,23,3,2.18
pp2,part B,STpp2.20,st-gb165,23,4,1.92
pp2,part B,STpp2.20,st-gb105,24,1,3.20
pp2,part B,STpp2.20,st-gb105,24,2,1.65
pp2,part B,STpp2.20,st-gb105,24,3,1.16
pp2,part B,STpp2.20,st-gb105,24,4,2.14
pp2,part B,STpp2.27,st-gb045,22,1,1.82
pp2,part B,STpp2.27,st-gb045,22,2,1.55
pp2,part B,STpp2.27,st-gb045,22,3,1.71
pp2,part B,STpp2.27,st-gb045,22,4,1.42
pp2,part B,STpp2.27,st-gb135,21,1,2.66
pp2,part B,STpp2.27,st-gb135,21,2,3.37
pp2,part B,STpp2.27,st-gb135,21,3,6.96
pp2,part B,STpp2.27,st-gb135,21,4,3.43
pp2,part B,STpp2.27,st-gb105,24,1,1.99
pp2,part B,STpp2.27,st-gb105,24,2,1.92
pp2,part B,STpp2.27,st-gb105,24,3,1.50
pp2,part B,STpp2.27,st-gb105,24,4,1.22
pp2,part B,STpp2.27,st-gb165,23,1,3.56
pp2,part B,STpp2.27,st-gb165,23,2,2.76
pp2,part B,STpp2.27,st-gb165,23,3,2.14
pp2,part B,STpp2.27,st-gb165,23,4,1.35
pp2,part B,STpp2.18,st-gb135,21,1,5.02
pp2,part B,STpp2.18,st-gb135,21,2,6.15
pp2,part B,STpp2.18,st-gb135,21,3,4.44
pp2,part B,STpp2.18,st-gb135,21,4,3.43
pp2,part B,STpp2.18,st-gb045,22,1,4.44
pp2,part B,STpp2.18,st-gb045,22,2,2.91
pp2,part B,STpp2.18,st-gb045,22,3,3.37
pp2,part B,STpp2.18,st-gb045,22,4,2.57
pp2,part B,STpp2.18,st-gb105,24,1,2.10
pp2,part B,STpp2.18,st-gb105,24,2,2.38
pp2,part B,STpp2.18,st-gb105,24,3,2.42
pp2,part B,STpp2.18,st-gb105,24,4,2.02
pp2,part B,STpp2.18,st-gb165,23,1,2.76
pp2,part B,STpp2.18,st-gb165,23,2,2.97
pp2,part B,STpp2.18,st-gb165,23,3,2.18
pp2,part B,STpp2.18,st-gb165,23,4,3.43
pp2,part B,STpp2.16,st-gb135,21,2,5.83
pp2,part B,STpp2.16,st-gb135,21,3,5.42
pp2,part B,STpp2.16,st-gb135,21,4,11.24
pp2,part B,STpp2.16,adaptst-gb045,22,1,9.20
pp2,part B,STpp2.16,adaptst-gb045,22,2,5.02
pp2,part B,STpp2.16,adaptst-gb045,22,3,5.12
pp2,part B,STpp2.16,adaptst-gb045,22,4,7.81
pp2,part B,STpp2.16,st-gb165,23,1,4.05
pp2,part B,STpp2.16,st-gb165,23,2,3.98
pp2,part B,STpp2.16,st-gb165,23,3,4.27
pp2,part B,STpp2.16,st-gb165,23,4,2.66
pp2,part B,STpp2.16,st-gb105,24,1,2.84
pp2,part B,STpp2.16,st-gb105,24,2,3.37
pp2,part B,STpp2.16,st-gb105,24,3,2.66
pp2,part B,STpp2.16,st-gb105,24,4,2.24
pp2,part B,STpp2.29,st-gb045,22,1,1.52
pp2,part B,STpp2.29,st-gb045,22,2,2.02
pp2,part B,STpp2.29,st-gb045,22,3,1.99
pp2,part B,STpp2.29,st-gb045,22,4,1.68
pp2,part B,STpp2.29,st-gb135,21,1,3.20
pp2,part B,STpp2.29,st-gb135,21,2,6.75
pp2,part B,STpp2.29,st-gb135,21,3,2.42
pp2,part B,STpp2.29,st-gb135,21,4,2.57
pp2,part B,STpp2.29,st-gb165,23,1,2.38
pp2,part B,STpp2.29,st-gb165,23,2,2.47
pp2,part B,STpp2.29,st-gb165,23,3,2.52
pp2,part B,STpp2.29,st-gb165,23,4,2.10
pp2,part B,STpp2.29,st-gb105,24,1,1.82
pp2,part B,STpp2.29,st-gb105,24,2,1.78
pp2,part B,STpp2.29,st-gb105,24,3,2.47
pp2,part B,STpp2.29,st-gb105,24,4,1.58
pp2,part B,STpp2.29,st-gb135,21,1,3.08
pp2,part B,STpp2.29,st-gb135,21,2,5.22
pp2,part B,STpp2.29,st-gb135,21,3,5.42
pp2,part B,STpp2.29,st-gb135,21,4,3.56
pp2,part B,STpp2.17,st-gb045,22,1,3.20
pp2,part B,STpp2.17,st-gb045,22,2,3.26
pp2,part B,STpp2.17,st-gb045,22,3,2.52
pp2,part B,STpp2.17,st-gb045,22,4,3.32
pp2,part B,STpp2.17,st-gb135,21,2,4.44
pp2,part B,STpp2.17,st-gb135,21,3,6.03
pp2,part B,STpp2.17,st-gb135,21,4,4.52
pp2,part B,STpp2.17,st-gb165,23,1,3.98
pp2,part B,STpp2.17,st-gb165,23,2,2.38
pp2,part B,STpp2.17,st-gb165,23,3,3.14
pp2,part B,STpp2.17,st-gb165,23,4,3.08
pp2,part B,STpp2.17,st-gb105,24,1,3.70
pp2,part B,STpp2.17,st-gb105,24,2,3.91
pp2,part B,STpp2.17,st-gb105,24,3,4.61
pp2,part B,STpp2.17,st-gb105,24,4,2.42
pp2,part B,STpp2.28,st-gb135,21,1,3.70
pp2,part B,STpp2.28,st-gb135,21,2,3.56
pp2,part B,STpp2.28,st-gb135,21,3,4.19
pp2,part B,STpp2.28,st-gb135,21,4,2.22
pp2,part B,STpp2.28,st-gb045,22,1,1.88
pp2,part B,STpp2.28,st-gb045,22,2,2.18
pp2,part B,STpp2.28,st-gb045,22,3,2.47
pp2,part B,STpp2.28,st-gb045,22,4,1.92
pp2,part B,STpp2.28,st-gb165,23,1,2.10
pp2,part B,STpp2.28,st-gb165,23,2,2.64
pp2,part B,STpp2.28,st-gb165,23,3,2.10
pp2,part B,STpp2.28,st-gb165,23,4,1.92
pp2,part B,STpp2.28,st-gb105,24,1,2.71
pp2,part B,STpp2.28,st-gb105,24,2,2.18
pp2,part B,STpp2.28,st-gb105,24,3,1.63
pp2,part B,STpp2.28,st-gb105,24,4,1.95
pp2,part B,STpp2.26,st-gb135,21,1,3.70
pp2,part B,STpp2.26,st-gb135,21,2,2.47
pp2,part B,STpp2.26,st-gb135,21,3,2.66
pp2,part B,STpp2.26,st-gb135,21,4,1.75
pp2,part B,STpp2.26,st-gb045,22,1,1.82
pp2,part B,STpp2.26,st-gb045,22,2,1.85
pp2,part B,STpp2.26,st-gb045,22,3,2.86
pp2,part B,STpp2.26,st-gb045,22,4,1.99
pp2,part B,STpp2.26,st-gb105,24,1,3.43
pp2,part B,STpp2.26,st-gb105,24,2,1.85
pp2,part B,STpp2.26,st-gb105,24,3,1.65
pp2,part B,STpp2.26,st-gb105,24,4,1.92
pp2,part B,STpp2.26,st-gb165,23,1,2.47
pp2,part B,STpp2.26,st-gb165,23,2,1.40
pp2,part B,STpp2.26,st-gb165,23,3,1.71
pp2,part B,STpp2.26,st-gb165,23,4,1.78
pp2,part B,STpp2.19,st-gb135,21,1,3.26
pp2,part B,STpp2.19,st-gb135,21,2,4.19
pp2,part B,STpp2.19,st-gb135,21,3,7.38
pp2,part B,STpp2.19,st-gb135,21,4,4.36
pp2,part B,STpp2.19,st-gb045,22,1,3.91
pp2,part B,STpp2.19,st-gb045,22,2,1.95
pp2,part B,STpp2.19,st-gb045,22,3,2.71
pp2,part B,STpp2.19,st-gb045,22,4,2.26
pp2,part B,STpp2.19,st-gb165,21,1,2.26
pp2,part B,STpp2.19,st-gb165,21,2,1.71
pp2,part B,STpp2.19,st-gb165,21,3,1.29
pp2,part B,STpp2.19,st-gb165,21,4,1.60
pp2,part B,STpp2.19,st-gb105,24,1,2.18
pp2,part B,STpp2.19,st-gb105,24,2,2.22
pp2,part B,STpp2.19,st-gb105,24,3,2.18
pp2,part B,STpp2.19,st-gb105,24,4,2.14
pp2,part B,STpp2.19,st-gb165,23,1,2.76
pp2,part B,STpp2.19,st-gb165,23,2,2.02
pp2,part B,STpp2.19,st-gb165,23,3,3.20
pp2,part B,STpp2.19,st-gb165,23,4,2.22
pp2,part B,STpp2.21,st-gb045,22,1,2.42
pp2,part B,STpp2.21,st-gb045,22,2,1.33
pp2,part B,STpp2.21,st-gb045,22,3,1.31
pp2,part B,STpp2.21,st-gb045,22,4,1.65
pp2,part B,STpp2.21,st-gb135,21,1,2.91
pp2,part B,STpp2.21,st-gb135,21,2,5.32
pp2,part B,STpp2.21,st-gb135,21,3,1.99
pp2,part B,STpp2.21,st-gb135,21,4,2.34
pp2,part B,STpp2.21,st-gb165,23,1,2.42
pp2,part B,STpp2.21,st-gb165,23,2,2.26
pp2,part B,STpp2.21,st-gb165,23,3,1.99
pp2,part B,STpp2.21,st-gb165,23,4,2.14
pp2,part B,STpp2.21,st-gb105,24,1,2.71
pp2,part B,STpp2.21,st-gb105,24,2,2.02
pp2,part B,STpp2.21,st-gb105,24,3,1.55
pp2,part B,STpp2.21,st-gb105,24,4,1.95
pp2,part B,STpp2.24,st-gb135,21,1,3.03
pp2,part B,STpp2.24,st-gb135,21,2,2.52
pp2,part B,STpp2.24,st-gb135,21,3,3.20
pp2,part B,STpp2.24,st-gb135,21,4,4.19
pp2,part B,STpp2.24,st-gb045,22,1,3.26
pp2,part B,STpp2.24,st-gb045,22,2,2.10
pp2,part B,STpp2.24,st-gb045,22,3,1.71
pp2,part B,STpp2.24,st-gb045,22,4,1.88
pp2,part B,STpp2.24,st-gb165,23,1,2.26
pp2,part B,STpp2.24,st-gb165,23,2,2.06
pp2,part B,STpp2.24,st-gb165,23,3,2.52
pp2,part B,STpp2.24,st-gb165,23,4,2.47
pp2,part B,STpp2.24,st-gb105,24,1,2.38
pp2,part B,STpp2.24,st-gb105,24,2,2.06
pp2,part B,STpp2.24,st-gb105,24,3,1.33
pp2,part B,STpp2.24,st-gb105,24,4,1.40
pp2,part B,STpp2.23,st-gb045,22,1,1.40
pp2,part B,STpp2.23,st-gb045,22,2,1.68
pp2,part B,STpp2.23,st-gb045,22,3,1.88
pp2,part B,STpp2.23,st-gb045,22,4,1.65
pp2,part B,STpp2.23,st-gb135,21,1,2.91
pp2,part B,STpp2.23,st-gb135,21,2,2.14
pp2,part B,STpp2.23,st-gb135,21,3,2.81
pp2,part B,STpp2.23,st-gb135,21,4,6.51
pp2,part B,STpp2.23,st-gb105,24,1,1.58
pp2,part B,STpp2.23,st-gb105,24,2,1.50
pp2,part B,STpp2.23,st-gb105,24,3,1.60
pp2,part B,STpp2.23,st-gb105,24,4,1.71
pp2,part B,STpp2.23,st-gb165,23,1,2.14
pp2,part B,STpp2.23,st-gb165,23,2,2.34
pp2,part B,STpp2.23,st-gb165,23,3,1.88
pp2,part B,STpp2.23,st-gb165,23,4,1.95
pp2,part B,STpp2.22,st-gb135,21,1,2.91
pp2,part B,STpp2.22,st-gb135,21,2,3.43
pp2,part B,STpp2.22,st-gb135,21,3,2.26
pp2,part B,STpp2.22,st-gb135,21,4,2.71
pp2,part B,STpp2.22,st-gb045,22,1,2.86
pp2,part B,STpp2.22,st-gb045,22,2,2.10
pp2,part B,STpp2.22,st-gb045,22,3,1.99
pp2,part B,STpp2.22,st-gb045,22,4,1.88
pp2,part B,STpp2.22,st-gb105,24,1,1.88
pp2,part B,STpp2.22,st-gb105,24,2,1.75
pp2,part B,STpp2.22,st-gb105,24,3,1.68
pp2,part B,STpp2.22,st-gb105,24,4,1.68
pp2,part B,STpp2.22,st-gb165,23,1,2.57
pp2,part B,STpp2.22,st-gb165,23,2,2.26
pp2,part B,STpp2.22,st-gb165,23,3,2.06
pp2,part B,STpp2.22,st-gb165,23,4,1.92
pp2,part B,STpp2.25,st-gb045,22,1,1.88
pp2,part B,STpp2.25,st-gb045,22,2,1.63
pp2,part B,STpp2.25,st-gb045,22,3,1.45
pp2,part B,STpp2.25,st-gb045,22,4,1.88
pp2,part B,STpp2.25,st-gb135,21,1,3.08
pp2,part B,STpp2.25,st-gb135,21,2,5.22
pp2,part B,STpp2.25,st-gb135,21,3,5.42
pp2,part B,STpp2.25,st-gb135,21,4,3.56
pp2,part B,STpp2.25,st-gb165,23,1,2.30
pp2,part B,STpp2.25,st-gb165,23,2,2.22
pp2,part B,STpp2.25,st-gb165,23,3,2.26
pp2,part B,STpp2.25,st-gb165,23,4,1.68
pp2,part B,STpp2.25,st-gb105,24,1,2.06
pp2,part B,STpp2.25,st-gb105,24,2,1.82
pp2,part B,STpp2.25,st-gb105,24,3,2.30
pp2,part B,STpp2.25,st-gb105,24,4,1.88
pp2,part B,STpp2.30,st-gb135,21,1,7.81
pp2,part B,STpp2.30,st-gb135,21,2,7.81
pp2,part B,STpp2.30,st-gb135,21,3,8.10
pp2,part B,STpp2.30,st-gb135,21,4,7.52
pp2,part B,STpp2.30,st-gb045,22,1,2.57
pp2,part B,STpp2.30,st-gb045,22,2,2.10
pp2,part B,STpp2.30,st-gb045,22,3,1.55
pp2,part B,STpp2.30,st-gb045,22,4,1.82
pp2,part B,STpp2.30,st-gb105,24,1,2.18
pp2,part B,STpp2.30,st-gb105,24,2,1.92
pp2,part B,STpp2.30,st-gb105,24,3,1.20
pp2,part B,STpp2.30,st-gb105,24,4,2.06
pp2,part B,STpp2.30,st-gb165,23,1,2.02
pp2,part B,STpp2.30,st-gb165,23,2,2.26
pp2,part B,STpp2.30,st-gb165,23,3,2.18
pp2,part B,STpp2.30,st-gb165,23,4,1.22
pp2,part C,STpp2.42,st-gb135,32,1,1.14
pp2,part C,STpp2.42,st-gb135,32,2,1.85
pp2,part C,STpp2.42,st-gb135,32,3,0.66
pp2,part C,STpp2.42,st-gb135,32,4,0.84
pp2,part C,STpp2.42,st-gb135,31,1,1.99
pp2,part C,STpp2.42,st-gb135,31,2,1.95
pp2,part C,STpp2.42,st-gb135,31,3,2.38
pp2,part C,STpp2.42,st-gb135,31,4,2.47
pp2,part C,STpp2.42,st-gb165,33,1,1.68
pp2,part C,STpp2.42,st-gb165,33,2,1.71
pp2,part C,STpp2.42,st-gb165,33,3,1.78
pp2,part C,STpp2.42,st-gb165,33,4,1.31
